Order Number,Order Time,用户ID,Delivery Date,订单投诉,Status,Total Price,Payment,Voucher Discount,Voucher,Coupon Discount,Coupon,Tax Price,Final Price,Refund,Customer Service,OS of App,,冷链包装费,支付宝手续费,会员券,配送费,到家/自提,班次,服务费
1599599031,7/13/2020 11:12,53891799056,7/16/2020,,已送达,87.27,信用卡支付,,,,,0,98.76,2.99,,pc下单,,1.5,,0,9.99,到家,NY,0
1599956937,7/13/2020 11:14,58851651786,7/18/2020,,已送达,157.94,支付宝/微信,,,,,0.19,171.12,2.37,,pc下单,,1.5,1.5,0,9.99,到家,NY,0
1604104935,7/13/2020 11:21,55841219906,7/15/2020,,已送达,88.89,信用卡支付,,,,,0,89.59,2,,ios,2.3.1,1.5,,0,0,自提,Boston,0
1603265894,7/13/2020 11:21,54222420195,7/19/2020,,已送达,182.68,余额支付,,,,,2.82,196.24,1.99,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1604554500,7/13/2020 11:23,57261436777,7/18/2020,,订单已取消【需要取消一件/多件商品 || 需要再加几个商品】,30,PayPal,,,,,0.21,32.41,32.41,,ios,2.3.1,1.5,,0,0,自提,OT,2
1604382560,7/13/2020 11:23,58386598393,7/16/2020,,已送达,62.98,PayPal,,,,,1.08,66.61,6.99,,ios,2.3.1,1.5,,0,0,自提,NY,2
1600576750,7/13/2020 11:23,5463475291,7/16/2020,,已送达,141.2,信用卡支付,,,,,3.57,156.11,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1602096599,7/13/2020 11:25,52533922352,7/15/2020,,已送达,30.22,PayPal,,,,,0,31.47,1.49,,ios,2.3.1,,,0,0,自提,Boston,2
1597879064,7/13/2020 11:26,52857128339,7/15/2020,,已送达,239.77,PayPal,,,,,7.83,248.38,11.45,,ios,2.3.1,1.5,,0,0,自提,DC,0
1601281177,7/13/2020 11:26,5289179852,7/19/2020,,已送达,183.87,PayPal,,,,,0,192.36,13.97,,pc下单,,1.5,,0,6.99,到家,NY,0
1601270367,7/13/2020 11:27,52592916738,7/16/2020,普通投诉,退款已完成,173.31,支付宝/微信,,,,,1.52,187.64,20.57,R-缺失商品,ios,2.3.1,1.5,1.5,0,9.99,到家,NY,0
1602521096,7/13/2020 11:27,53760779774,7/18/2020,,已送达,73.87,余额支付,,,,,2.31,72.42,,,ios,2.3.1,1.5,,5,0,自提,OT,0
1602008608,7/13/2020 11:28,56686017842,7/15/2020,,已送达,53,信用卡支付,,,,,0,54.5,,,pc下单,,1.5,,0,0,自提,DC,0
1601761312,7/13/2020 11:32,55664612219,7/18/2020,,已送达,227.57,PayPal,,,,,8.2,247.04,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1597138042,7/13/2020 11:33,53181227365,7/16/2020,,已送达,317.59,信用卡支付,,,,,3.21,332.29,18.48,,pc下单,,1.5,,0,9.99,到家,NY,0
1595226545,7/13/2020 11:34,52971888338,7/16/2020,,已送达,51.4,余额支付,,,,,0.65,52.97,2.59,,ios,2.3.1,,,0,0,自提,NY,2
1597044534,7/13/2020 11:35,54026043339,7/18/2020,,已送达,125.95,信用卡支付,,,,,4.68,127.13,,,pc下单,,1.5,,5,0,自提,OT,0
1595700812,7/13/2020 11:37,52920352143,7/16/2020,,已送达,127.38,信用卡支付,,,,,0.57,139.31,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1602286376,7/13/2020 11:38,55292085923,7/16/2020,,已送达,80.38,信用卡支付,,,,,0,81.08,,,android,2.3.1,1.5,,0,0,自提,NY,0
1597306530,7/13/2020 11:39,55691787323,7/16/2020,,已送达,97.14,PayPal,,,,,1.64,110.27,,,pc下单,,1.5,,0,9.99,到家,NY,0
1599457417,7/13/2020 11:40,5546171049,7/15/2020,,已送达,352.84,信用卡支付,,,,,2.64,371.97,7.19,,pc下单,,1.5,,0,9.99,到家,Boston,0
1598069378,7/13/2020 11:40,57231453004,7/18/2020,,已送达,44.51,PayPal,,,,,0,47.84,12.98,,android,2.3.1,1.5,,0,0,自提,Boston,2
1604290180,7/13/2020 11:40,58041218180,7/15/2020,,已送达,121.61,信用卡支付,,,,,0,133.1,,,pc下单,,1.5,,0,9.99,到家,Boston,0
1600236947,7/13/2020 11:41,53978154329,7/16/2020,,已送达,61.2,信用卡支付,,,,,1.15,75.84,,,pc下单,,1.5,,0,9.99,到家,NY,2
1598129974,7/13/2020 11:43,52760732811,7/18/2020,,已送达,86.19,信用卡支付,,,,,0,87.04,15.17,,ios,2.3.1,1.5,,0,0,自提,OT,0
1598608351,7/13/2020 11:46,58624893971,7/18/2020,,已送达,86.77,PayPal,,,,,3.04,91.08,,,ios,2.3.1,1.5,,0,0,自提,OT,0
1599037968,7/13/2020 11:46,55662689678,7/16/2020,,已送达,51.29,信用卡支付,,,,,0,64.78,4.59,,pc下单,,1.5,,0,9.99,到家,NY,2
1599071289,7/13/2020 11:48,53351557195,7/29/2020,,订单已取消【订单重复 || 定多了】,95.26,余额支付,,,,,0.43,90.89,90.89,,IPAD,2.3.1,1.5,,5,0,自提,Boston,0
1601698731,7/13/2020 11:51,54961717559,7/15/2020,,已送达,166.68,信用卡支付,,,,,0,177.92,5.98,,ios,2.3.1,1.5,,0,9.99,到家,Boston,0
1595302678,7/13/2020 11:51,56851818687,7/16/2020,,已送达,159.05,信用卡支付,,,,,3.31,173.65,1.09,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1602376469,7/13/2020 11:52,58330132259,7/15/2020,,已送达,24.29,信用卡支付,,,,,0.12,27.76,,,android,2.3.1,1.5,,0,0,自提,DC,2
1598980326,7/13/2020 11:54,57686086841,7/16/2020,,已送达,77.19,PayPal,,,,,2.86,91.31,1.09,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1604142994,7/13/2020 11:54,56380336390,7/18/2020,,订单已取消【需要取消一件/多件商品 || 需要取消商品】,88.08,信用卡支付,,,,,0,88.89,88.89,,ios,2.3.1,1.5,,0,0,自提,OT,0
